MA	Mouse adult gross anatomy
AERO	Adverse Event Reporting Ontology
AAO	Amphibian gross anatomy
ATO	Amphibian taxonomy
AEO	Anatomical Entity Ontology
ADW	Animal natural history and life history
APO	Ascomycete phenotype ontology
FYPO	Fission Yeast Phenotype Ontology
PATO	Phenotypic quality
BILA	Bilateria anatomy
GO	Biological process PRERELEASE
BTO	BRENDA tissue / enzyme source
CARO	Common Anatomy Reference Ontology
CDAO	Comparative Data Analysis Ontology
BSPO	Spatial Ontology
SPD	Spider Ontology
CL	Cell type PRERELEASE
DC_CL	Dendritic cell PRERELEASE
CHEBI	Chemical entities of biological interest
CHEMINF	Chemical Information Ontology
RESID	Protein covalent bond
DDANAT	Dictyostelium discoideum anatomy
DOID	Human disease ontology
ExO	Exposure ontology
ERO	eagle-i resource ontology
IDO	Infectious disease
FLU	Influenza Ontology
IDOMAL	Malaria Ontology
EMAP	Mouse gross anatomy and development
ENVO	Environment Ontology PRERELEASE
IEV	Event (INOH pathway ontology)
ECO	Evidence codes
EV	eVOC (Expressed Sequence Annotation for Humans)
FIX	Physico-chemical methods and properties
FBbt	Drosophila gross anatomy PRERELEASE
FBdv	Drosophila development
FBsp	Fly taxonomy
FBcv	FlyBase Controlled Vocabulary
FMA	Foundational Model of Anatomy (subset) PRERELEASE
FAO	Fungal gross anatomy
YPO	Yeast phenotypes
BOOTStrep	Gene Regulation Ontology
	Loggerhead nesting
HOM	homology_ontology
vHOG	verteberate Homologous Organ Groups
EHDAA	Human developmental anatomy, abstract version
EHDAA2	Human developmental anatomy, abstract version, v2
EHDA	Human developmental anatomy, timed version
HP	human phenotype ontology
HAO	Hymenoptera Anatomy Ontology
IAO	Information Artifact Ontology
FBbi	Biological imaging methods
IPR	Protein Domains
KISAO	Kinetic Simulation Algorithm Ontology
LiPrO	Lipid Ontology
MP	Mammalian phenotype
MAO	Multiple alignment
MFO	Medaka fish anatomy and development
MAT	Minimal anatomical terminology
MO	Microarray experimental conditions
IMR	Molecule role (INOH Protein name/family name ontology)
TGMA	Mosquito gross anatomy
MIRO	Mosquito insecticide resistance
MPATH	Mouse pathology
NCBITaxon	NCBI organismal classification
NBO	Neuro Behavior Ontology
ncithesaurus	NCI Thesaurus
NIF_GrossAnatomy	NIF Gross Anatomy
NIF_Cell	NIF Cell
NIF_Dysfunction	NIF Dysfunction
NMR	NMR-instrument specific component of metabolomics investigations
OBI	Ontology for biomedical investigations
BFO	Basic Formal Ontology
OAE	Ontology of Adverse Events
OGMS	Ontology for General Medical Science
OMRSE	Ontology of Medically Related Social Entities
OPL	Ontology for Parasite LifeCycle
PW	Pathway ontology
EO	Plant Environmental Conditions
TO	Plant Trait Ontology
